P2Ready||his credit card number||P2Ready||Goodwill
P2Ready||his credit card number||Quasky||A cake store
P2Ready||his credit card number||Quasky||in a plastic bag
P2Ready||his credit card number||Quasky||the bar down the street
P2Ready||his credit card number||P2Ready||Goodwill
P2Ready||his credit card number||P2Ready||Goodwill
P2Ready||his credit card number||P2Ready||Goodwill
P2Ready||his credit card number||P2Ready||Goodwill
P2Ready||his credit card number||P2Ready||Goodwill
P2Ready||his credit card number||P2Ready||Goodwill
P2Ready||his credit card number||P2Ready||Goodwill
P2Ready||his credit card number||P2Ready||Goodwill
P2Ready||his credit card number||P2Ready||Goodwill
P2Ready||his credit card number||P2Ready||Goodwill
